N_genes	nt_sn	nt_sp	exon_sn	exon_sp	gene_sn	gene_sp	mean_identity	median_identity	PH	FP	FN	SC	DU	fr	nt_fscore	exon_fscore	gene_fscore	tec
2000	90.8	68.5	70.7	60.2	17	10.5	73.1269093954847	83.1911262798635	242	912	203	0.864906832298137	0.333333333333333	2500	78.0891399874451	65.0288770053476	12.9818181818182	BUSCO
7000	91	66.8	71.9	59.1	17	9.9	72.9451680136693	81.4887128356328	241	1034	189	0.892857142857143	0.388888888888889	2500	77.0443599493029	64.8746564885496	12.5130111524164	BUSCO
6000	91	66.8	71.6	59	16.7	9.7	72.9292480570646	81.7146904367054	237	1048	190	0.897515527950311	0.277777777777778	2500	77.0443599493029	64.6921898928024	12.2719696969697	BUSCO
1000	90.6	69.8	69.4	60.6	16.8	10.8	73.156038845182	82.2722483384665	239	827	198	0.840062111801242	0.444444444444444	2500	78.8513715710723	64.7021538461538	13.1478260869565	BUSCO
800	90.7	69.9	68.6	60.5	15.4	9.9	73.7888461389904	83.0626450116009	218	829	198	0.84472049689441	0.333333333333333	2500	78.9530510585305	64.295894655306	12.0521739130435	BUSCO
500	90.1	71.2	67.6	61.1	14.9	9.8	74.0372335281666	83.5712426731844	211	794	213	0.84472049689441	0.444444444444444	2500	79.5427154370738	64.1858585858586	11.8234817813765	BUSCO
200	84	70.8	60.4	57.6	11.2	7.8	69.1338248955924	76.4976958525346	159	759	294	0.813664596273292	0.222222222222222	2500	76.8372093023256	58.966779661017	9.19578947368421	BUSCO
1500	90.6	69.4	70.5	60.7	16.8	10.5	73.4402793734927	83.2609464591556	238	878	204	0.863354037267081	0.333333333333333	2500	78.5955	65.233993902439	12.9230769230769	BUSCO
8000	91	67	71.8	59	17.7	10.3	73.2927658659299	81.7120622568093	251	1029	189	0.87888198757764	0.444444444444444	2500	77.1772151898734	64.7737003058104	13.0221428571429	BUSCO
800	87.2	69.8	70.1	60.5	16.2	10.4	72.6400496346212	81.8239021394001	230	858	229	0.886645962732919	0.277777777777778	2500	77.535796178344	64.9471669218989	12.6676691729323	BUSCO
