N_genes	nt_sn	nt_sp	exon_sn	exon_sp	gene_sn	gene_sp	mean_identity	median_identity	PH	FP	FN	SC	DU	fr	nt_fscore	exon_fscore	gene_fscore	tec
200	88.3	69.1	62.2	56.8	11.4	7.5	70.2825380576474	78.3386769613296	162	851	256	0.78416149068323	0.388888888888889	5000	77.5289707750953	59.3774789915966	9.04761904761905	PacBio
7000	93.2	62.5	70.7	55.5	15.8	7.8	71.7956353429812	80.2839116719243	224	1407	170	0.864906832298137	0.277777777777778	7500	74.8233782915864	62.1846275752773	10.4440677966102	PacBio
6000	93.3	62.2	70.8	55.3	15.9	7.9	71.4813883510963	79.9043062200957	226	1415	164	0.864906832298137	0.277777777777778	7500	74.64	62.0973830293418	10.555462184874	PacBio
200	90.4	61.3	60.7	50	9.9	5	67.3551249527222	73.2458581274883	140	1379	204	0.763975155279503	0.611111111111111	7500	73.0589321028345	54.83288166215	6.64429530201342	PacBio
3000	93.2	61.4	70.2	54.2	15.7	7.5	70.8199444408334	79.1018998272884	223	1512	172	0.852484472049689	0.444444444444444	7500	74.0294954721863	61.1710610932476	10.1508620689655	PacBio
2000	93.1	60.7	69.5	53.6	14.7	6.9	70.994762544589	79.0910092608252	209	1544	163	0.860248447204969	0.333333333333333	7500	73.4872561768531	60.5231519090171	9.39166666666667	PacBio
1500	92.9	61.2	69.2	53.7	14.9	7.1	71.1203758791918	78.9473684210526	212	1533	171	0.858695652173913	0.444444444444444	7500	73.7894873458793	60.4725793327909	9.61727272727273	PacBio
4000	93.3	62	70.6	55	16.2	7.9	71.3151784621395	79.8663385949913	230	1468	168	0.87111801242236	0.333333333333333	7500	74.4958145524791	61.8312101910828	10.6207468879668	PacBio
5000	93.3	62	70.7	55.2	15.9	7.8	71.5908257566828	80	226	1441	170	0.875776397515528	0.277777777777778	7500	74.4958145524791	61.9958697378872	10.4658227848101	PacBio
500	92	61.8	66.1	52.6	12.2	6.1	69.1359846983248	75.6272401433692	173	1417	191	0.824534161490683	0.444444444444444	7500	73.9349804941482	58.5823083403538	8.13333333333333	PacBio
